Year,Name,Country,Location,Laps
2018,Australian Grand Prix,Australia,Melbourne,58
2018,Bahrain Grand Prix,Bahrain,Sakhir,57
2018,Chinese Grand Prix,China,Shanghai,56
2018,Azerbaijan Grand Prix,Azerbaijan,Baku,51
2018,Spanish Grand Prix,Spain,Barcelona,66
2018,Monaco Grand Prix,Monaco,Monte Carlo,78
2018,Canadian Grand Prix,Canada,Montr�al,70
2018,French Grand Prix,France,Le Castellet,53
2018,Austrian Grand Prix,Austria,Spielberg,71
2018,British Grand Prix,Great Britain,Silverstone,52
2018,German Grand Prix,Germany,Hockenheim,67
2018,Hungarian Grand Prix,Hungary,Budapest,70
2018,Belgian Grand Prix,Belgium,Spa-Francorchamps,44
2018,Italian Grand Prix,Italy,Monza,53
2018,Singapore Grand Prix,Singapore,Singapore,61
2018,Russian Grand Prix,Russia,Sochi,53
2018,Japanese Grand Prix,Japan,Suzuka,53
2018,United States Grand Prix,United States,Austin,56
2018,Mexican Grand Prix,Mexico,Mexico City,71
2018,Brazilian Grand Prix,Brazil,S�o Paulo,71
2018,Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,55
2019,Australian Grand Prix,Australia,Melbourne,58
2019,Bahrain Grand Prix,Bahrain,Sakhir,57
2019,Chinese Grand Prix,China,Shanghai,56
2019,Azerbaijan Grand Prix,Azerbaijan,Baku,51
2019,Spanish Grand Prix,Spain,Barcelona,66
2019,Monaco Grand Prix,Monaco,Monte Carlo,78
2019,Canadian Grand Prix,Canada,Montr�al,70
2019,French Grand Prix,France,Le Castellet,53
2019,Austrian Grand Prix,Austria,Spielberg,71
2019,British Grand Prix,Great Britain,Silverstone,52
2019,German Grand Prix,Germany,Hockenheim,64
2019,Hungarian Grand Prix,Hungary,Budapest,70
2019,Belgian Grand Prix,Belgium,Spa-Francorchamps,44
2019,Italian Grand Prix,Italy,Monza,53
2019,Singapore Grand Prix,Singapore,Singapore,61
2019,Russian Grand Prix,Russia,Sochi,53
