Year,Race,Driver,Stint,Compound,StintLength
2018,Australian Grand Prix,ALO,1.0,ULTRASOFT,25
2018,Australian Grand Prix,RAI,1.0,ULTRASOFT,17
2018,Australian Grand Prix,SAI,1.0,ULTRASOFT,21
2018,Australian Grand Prix,PER,1.0,ULTRASOFT,23
2018,Australian Grand Prix,VET,1.0,ULTRASOFT,25
2018,Australian Grand Prix,OCO,1.0,ULTRASOFT,22
2018,Australian Grand Prix,MAG,1.0,ULTRASOFT,21
2018,Australian Grand Prix,SIR,1.0,SUPERSOFT,3
2018,Australian Grand Prix,LEC,1.0,SUPERSOFT,19
2018,Australian Grand Prix,STR,1.0,SUPERSOFT,24
2018,Australian Grand Prix,HUL,1.0,ULTRASOFT,23
2018,Australian Grand Prix,VAN,1.0,ULTRASOFT,24
2018,Australian Grand Prix,HAM,1.0,ULTRASOFT,17
2018,Australian Grand Prix,GRO,1.0,ULTRASOFT,23
2018,Australian Grand Prix,GAS,1.0,ULTRASOFT,13
2018,Australian Grand Prix,ERI,1.0,SUPERSOFT,5
2018,Australian Grand Prix,VER,1.0,SUPERSOFT,20
2018,Australian Grand Prix,BOT,1.0,ULTRASOFT,24
2018,Australian Grand Prix,RIC,1.0,SUPERSOFT,25
2018,Australian Grand Prix,RIC,2.0,SOFT,32
2018,Australian Grand Prix,VAN,2.0,SUPERSOFT,33
2018,Australian Grand Prix,SAI,2.0,SOFT,36
2018,Australian Grand Prix,VER,2.0,SOFT,37
2018,Australian Grand Prix,STR,2.0,SOFT,4
2018,Australian Grand Prix,OCO,2.0,SOFT,35
2018,Australian Grand Prix,PER,2.0,SOFT,34
2018,Australian Grand Prix,LEC,2.0,SOFT,7
2018,Australian Grand Prix,HUL,2.0,SOFT,34
2018,Australian Grand Prix,HAR,2.0,SOFT,23
2018,Australian Grand Prix,HAM,2.0,SOFT,39
2018,Australian Grand Prix,BOT,2.0,SUPERSOFT,33
2018,Australian Grand Prix,ALO,2.0,SOFT,32
2018,Australian Grand Prix,RAI,2.0,SOFT,40
2018,Australian Grand Prix,VET,2.0,SOFT,32
2018,Australian Grand Prix,LEC,3.0,ULTRASOFT,31
2018,Australian Grand Prix,HAR,3.0,ULTRASOFT,33
2018,Australian Grand Prix,STR,3.0,ULTRASOFT,29
2018,Bahrain Grand Prix,ALO,1.0,SOFT,13
2018,Bahrain Grand Prix,VER,1.0,SOFT,1
2018,Bahrain Grand Prix,VAN,1.0,SUPERSOFT,9
2018,Bahrain Grand Prix,STR,1.0,SOFT,9
2018,Bahrain Grand Prix,SIR,1.0,SOFT,21
2018,Bahrain Grand Prix,SAI,1.0,SUPERSOFT,15
2018,Bahrain Grand Prix,RAI,1.0,SUPERSOFT,18
2018,Bahrain Grand Prix,PER,1.0,SOFT,8
2018,Bahrain Grand Prix,OCO,1.0,SUPERSOFT,14
2018,Bahrain Grand Prix,VET,1.0,SUPERSOFT,16
2018,Bahrain Grand Prix,LEC,1.0,SOFT,2
2018,Bahrain Grand Prix,HUL,1.0,SUPERSOFT,14
2018,Bahrain Grand Prix,HAR,1.0,SUPERSOFT,19
2018,Bahrain Grand Prix,HAM,1.0,SOFT,25
2018,Bahrain Grand Prix,MAG,1.0,SUPERSOFT,12
2018,Bahrain Grand Prix,BOT,1.0,SUPERSOFT,19
2018,Bahrain Grand Prix,GRO,1.0,SUPERSOFT,17
2018,Bahrain Grand Prix,ERI,1.0,SOFT,22
2018,Bahrain Grand Prix,GAS,1.0,SUPERSOFT,14
2018,Bahrain Grand Prix,HAM,2.0,MEDIUM,30
2018,Bahrain Grand Prix,VER,2.0,SUPERSOFT,1
2018,Bahrain Grand Prix,ALO,2.0,MEDIUM,25
2018,Bahrain Grand Prix,VAN,2.0,SOFT,18
2018,Bahrain Grand Prix,STR,2.0,SUPERSOFT,19
2018,Bahrain Grand Prix,SIR,2.0,MEDIUM,18
2018,Bahrain Grand Prix,BOT,2.0,MEDIUM,36
2018,Bahrain Grand Prix,SAI,2.0,SUPERSOFT,10
2018,Bahrain Grand Prix,RAI,2.0,SOFT,15
2018,Bahrain Grand Prix,ERI,2.0,MEDIUM,33
2018,Bahrain Grand Prix,PER,2.0,MEDIUM,23
2018,Bahrain Grand Prix,VET,2.0,SOFT,38
2018,Bahrain Grand Prix,OCO,2.0,MEDIUM,20
2018,Bahrain Grand Prix,GAS,2.0,SOFT,19
2018,Bahrain Grand Prix,HAR,2.0,SOFT,22
2018,Bahrain Grand Prix,MAG,2.0,SUPERSOFT,14
2018,Bahrain Grand Prix,LEC,2.0,MEDIUM,31
2018,Bahrain Grand Prix,GRO,2.0,SOFT,12
2018,Bahrain Grand Prix,HUL,2.0,SOFT,24
2018,Bahrain Grand Prix,GRO,3.0,SUPERSOFT,15
2018,Bahrain Grand Prix,VAN,3.0,MEDIUM,28
2018,Bahrain Grand Prix,HAR,3.0,SUPERSOFT,14
2018,Bahrain Grand Prix,ALO,3.0,SUPERSOFT,17
